ox,oy,oz,h1x,h1y,h1z,h2x,h2y,h2z
2.334,5.282,-9.655,2.743,4.447,-9.307,1.329,5.085,-9.620
8.186,-6.864,-12.940,8.660,-6.076,-13.273,7.401,-6.450,-12.557
-0.866,4.601,5.937,-0.441,4.810,6.760,-1.659,4.267,6.352
11.818,3.713,1.508,12.370,4.057,0.792,11.308,4.500,1.918
10.895,-2.942,10.990,10.280,-2.229,10.997,10.927,-3.277,10.025
-10.865,-2.895,3.656,-10.181,-3.118,2.997,-11.300,-3.761,3.735
-5.359,7.366,5.781,-4.578,6.983,5.334,-5.439,6.701,6.474
-6.731,-9.648,-9.035,-6.462,-9.115,-9.762,-6.064,-9.387,-8.324
-2.899,9.986,1.571,-2.250,10.208,2.184,-3.568,9.619,2.229
3.389,-5.684,-7.962,3.331,-5.604,-8.910,4.278,-5.946,-7.884
-5.557,11.175,8.011,-5.684,10.970,7.072,-5.841,12.134,8.074
-6.050,-8.533,-1.684,-5.926,-7.590,-1.617,-5.092,-8.838,-1.489
8.415,10.142,-0.149,8.739,11.075,-0.310,7.777,10.053,-0.865
-8.209,1.553,10.651,-7.306,1.095,10.452,-8.786,0.835,10.689
8.951,11.231,-8.079,9.906,11.393,-8.315,8.956,10.280,-8.313
10.269,-0.058,5.301,9.512,-0.328,4.628,10.259,0.928,5.200
3.232,0.495,7.544,2.286,0.269,7.556,3.310,1.192,6.886
-4.510,0.152,-3.957,-4.354,0.240,-3.013,-3.682,0.496,-4.336
10.398,-5.065,-1.011,10.854,-4.375,-0.607,11.009,-5.697,-0.754
5.949,3.479,7.045,6.540,2.711,7.099,6.303,3.963,7.787
-10.879,2.245,-11.989,-10.383,3.043,-11.589,-10.445,2.103,-12.862
0.536,4.142,8.716,1.439,4.411,8.734,0.136,4.902,9.027
5.602,2.943,3.277,5.435,2.234,3.930,4.880,3.575,3.432
-9.232,-3.023,1.640,-9.216,-2.056,1.689,-8.407,-3.152,1.073
10.537,-2.412,-3.826,10.313,-2.419,-2.872,10.820,-1.489,-3.878
-5.152,-7.899,7.044,-4.328,-7.433,7.267,-5.775,-7.419,7.680
2.872,7.476,-6.798,1.985,7.749,-6.625,3.073,8.132,-7.482
-0.215,4.384,-9.140,-0.000,3.896,-8.369,-1.197,4.250,-9.166
7.876,8.711,-5.463,8.520,8.942,-4.760,7.017,9.015,-5.148
2.746,-1.635,14.153,2.946,-2.001,13.249,2.098,-1.039,13.903
-6.722,-2.825,-13.017,-7.021,-3.049,-12.136,-7.596,-2.742,-13.429
12.000,12.380,-11.294,11.147,12.776,-10.953,12.669,12.792,-10.753
1.348,-3.730,6.617,2.152,-3.303,7.026,1.573,-4.658,6.576
0.511,-5.171,-7.791,0.329,-6.025,-8.276,1.488,-5.128,-7.865
